"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Threshold Climb 3 x 8 min","Run","Find a hill that will allow for consistent running for 8 min. On the run down - the time is relatively short so you won't be able to get back to your start point in time. So pick a long enough climb to allow for consistent running up. Good spots: - Glen beach - Lions Head - Constantia Nek - Vredehoek - Blockhouse - Chapmans Peak Hike start - Noordhoek Peak - Silvermine gate - Noorhoek Peak - Tokai - Constantiaberg - Up Saaltjie - Mont Rochelle Gate to Du Toits","0.933333333333333","","2025-08-06","","11670.8603515625","350","555","1401.385","","1.1114866733551","2.91700005531311","","166","","144","164","","","0.69812421728307","60.16","26","23","20","0","0","","","","","","2","2","3","9","7","44","","","","","2","5"
"Easy Effort Trail Run","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard.","1","","2025-08-07","","11018.4404296875","365","629","1325.449","","1.00678277015686","3.03999996185303","","162","","147","167","","","0.716550702801368","57.28","19","21","23","0","0","","","","","","2","1","1","6","8","43","","","","","3","5"
"Easy Effort Trail Run (Vert Focus)","Run","Look for big sustained climbs where possible, but ensure you maintain aerobic effort (i.e. when running/hiking uphill be sure you could keep going at that pace for 60min, and/or you should be able to run when you get to the top of the climb). As much vertical gain per kilometer as the event you are training for e.g. UTCT 55km has 49m+ per km so in a 20km long run you want to get ±980m+","1","","2025-08-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-08-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Trail Run (Vert Focus)","Run","Look for long, sustained climbs with significant vertical gain where possible. (i.e. platteklip, devils peak, Newlands Ravine, nursery ravine, Constania Nek, Constantiaberg, etc.) Ideally >500m+ or as much vertical gain per kilometre as the event you are training for e.g. UTCT 55km has 49m+ per km so in a 20km long run you want to get ±980m+","2","","2025-08-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.11111111111111","","2025-08-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trail Running","Run","","","","2025-08-11","","10930.169921875","357","547","1320.47","","1.02588665485382","2.96000003814697","","162","","148","165","","","0.714912386355841","58.12","18","25","22","0","0","","","","","","2","1","1","7","9","43","","","","","",""
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.11111111111111","","2025-08-12","","12124.91015625","358","590","1449.754","","1.12294948101044","2.99900007247925","","164","","146","168","","","0.706006291708357","62.19","24","27","20","0","0","","","","","","1","2","2","7","7","49","","","","","3","5"
"Threshold Climb 3 x 10 min","Run","Find a hill that will allow for consistent running for 10min. On the run down - the time is relatively short so you won't be able to get back to your start point in time. So pick a long enough climb to allow for consistent running up. Good spots: - Glen beach - Lions Head - Constantia Nek - Vredehoek - Blockhouse - Chapmans Peak Hike start - Noordhoek Peak - Silvermine gate - Noorhoek Peak - Tokai - Constantiaberg - Up Saaltjie - Mont Rochelle Gate to Du Toits","1.1","","2025-08-14","","12454.830078125","380","580","1506.712","","1.10130298137665","3.14100003242493","","166","","153","177","","","0.82496083573344","83.21","24","12","14","19","0","","","","","","0","0","1","12","10","43","","","","","7","5"
"Running","Run","","","","2025-08-15","","10527.3095703125","349","578","1264.102","","1.00529420375824","2.90899991989136","","163","","146","164","","","0.706992971402872","55.66","21","23","20","0","0","","","","","","2","0","1","9","8","40","","","","","",""
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.61111111111111","","2025-08-16","","16360.2802734375","364","638","1947.184","","1.48609805107117","3.05800008773804","","162","","144","162","","","1.5415665363877","351.51","37","37","21","0","0","","","","","","2","1","2","6","10","68","","","","","",""
"Long Trail Run with 30s Surges","Run","The idea is to surge for short amounts of time throughout your run. These surges will help to simulate the challenges you may face during a race due to changes in terrain or accelerations from your competition. Surges should be at a challenging but controlled effort. Think 10km/21km race pace.","2.5","","2025-08-17","","25352.400390625","345","563","3016.308","","2.42621755599976","2.90300011634827","","162","","144","164","","","0.682935472390613","128.19","64","55","36","0","0","","","","","","1","1","5","18","16","105","","","","","",""
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.11111111111111","","2025-08-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5 x 1600m at 10km Race Pace","Run","2 km Warm Up 5 x 1600 m at 10 km Race Pace 2:30 min Rest 2 km Cool Down","1.18194444444444","14450","2025-08-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Threshold Climb 3 x 12 min","Run","Find a hill that will allow for consistent running for 12min. On the run down - the time is relatively short so you won't be able to get back to your start point in time. So pick a long enough climb to allow for consistent running up. Good spots: - Glen beach - Lions Head - Constantia Nek - Vredehoek - Blockhouse - Chapmans Peak Hike start - Noordhoek Peak - Silvermine gate - Noorhoek Peak - Tokai - Constantiaberg - Up Saaltjie - Mont Rochelle Gate to Du Toits","1.26666666666667","","2025-08-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Trail Run (Vert Focus)","Run","Look for long, sustained climbs with significant vertical gain where possible. (i.e. platteklip, devils peak, Newlands Ravine, nursery ravine, Constania Nek, Constantiaberg, etc.) Ideally >500m+ or as much vertical gain per kilometre as the event you are training for e.g. UTCT 55km has 49m+ per km so in a 20km long run you want to get ±980m+","3","","2025-08-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Trail Run (Vert Focus)","Run","Look for big sustained climbs where possible, but ensure you maintain aerobic effort (i.e. when running/hiking uphill be sure you could keep going at that pace for 60min, and/or you should be able to run when you get to the top of the climb). As much vertical gain per kilometer as the event you are training for e.g. UTCT 55km has 49m+ per km so in a 20km long run you want to get ±980m+","1.5","","2025-08-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.44444444444444","","2025-08-25","","15797.91015625","351","552","1866.703","","1.47686886787415","2.97099995613098","","162","","146","167","","","0.698334851112887","80.59","34","32","27","0","0","","","","","","3","0","2","10","10","64","","","","","",""
"Threshold Climb 2 x 15 min","Run","Find a hill that will allow for consistent running for 15min. On the run down - the time is relatively short so you won't be able to get back to your start point in time. So pick a long enough climb to allow for consistent running up. Good spots: - Glen beach - Lions Head - Constantia Nek - Vredehoek - Blockhouse - Chapmans Peak Hike start - Noordhoek Peak - Silvermine gate - Noorhoek Peak - Tokai - Constantiaberg - Up Saaltjie - Mont Rochelle Gate to Du Toits","1","","2025-08-26","","11022.0302734375","355","549","1373.887","","1.07214832305908","2.85599994659424","","163","","149","178","","","0.727380263184064","62.95","29","8","22","8","0","","","","","","2","2","6","7","6","41","","","","","3","5"
"Easy Effort Ride","Bike","","1","","2025-08-28","","32566.080078125","196","319","712.747","","1.00611114501953","8.99100017547607","","88","","133","160","","","0.836449108043951","69.83","44","16","1","0","0","","","","","","1","39","6","7","6","1","","","","","",""
"Zwift - 8/6/4min Threshold on Casse-Pattes in France","Bike","","","","2025-08-29","","30913.890625","182","441","661.478","","1.00527775287628","8.54199981689453","","88","","125","154","","","0.810817500284948","65.7","48","14","0","0","0","","","","","","27","6","7","19","1","0","","","","","",""
"Zwift - Mishmash on R.G.V. in France","Bike","","","","2025-08-30","","50127.37890625","185","271","1022.511","","1.52972221374512","9.10200023651123","","83","","130","152","","","0.770954146990901","90.66","80","13","0","0","0","","","","","","10","41","37","3","1","0","","","","","",""
"Easy Effort Trail Run (Vert Focus)","Run","Look for big sustained climbs where possible, but ensure you maintain aerobic effort (i.e. when running/hiking uphill be sure you could keep going at that pace for 60min, and/or you should be able to run when you get to the top of the climb). As much vertical gain per kilometer as the event you are training for e.g. UTCT 55km has 49m+ per km so in a 20km long run you want to get ±980m+","1.5","","2025-08-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trail Running","Run","","","","2025-09-01","","10617.509765625","354","560","1302.186","","1.02105224132538","2.88800001144409","","162","","142","162","","","0.67870483471534","52.13","30","22","12","0","0","","","","","","1","1","2","8","7","43","","","","","",""
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.44444444444444","","2025-09-02","","12528.3896484375","357","542","1520.608","","1.18244755268097","2.94300007820129","","163","","143","163","","","0.685679317802691","61.86","32","26","18","0","0","","","","","","2","2","2","6","7","51","","","","","3","9"
"Easy Effort Trail Run","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard.","1.33333333333333","","2025-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Melange on R.G.V. in France","Bike","","","","2025-09-04","","48020.48828125","175","334","953.436","","1.50555551052094","8.85900020599365","","89","","124","152","","","0.760592151200492","86.67","86","6","0","0","0","","","","","","28","36","11","12","1","2","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-09-05","","26409.060546875","172","331","623.266","","1.00305557250977","7.31300020217896","","91","","119","136","","","0.718939096455119","51.36","60","0","0","0","0","","","","","","11","42","5","0","1","1","","","","","",""
"Zwift - SST (Long) on Casse-Pattes in France","Bike","","","","2025-09-06","","71117.890625","210","278","1646.808","","2.17249989509583","9.0930004119873","","85","","137","154","","","0.870487529426051","163.62","78","60","0","0","0","","","","","","13","14","52","50","2","0","","","","","",""
"Easy Effort Trail Run (Vert Focus)","Run","Look for big sustained climbs where possible, but ensure you maintain aerobic effort (i.e. when running/hiking uphill be sure you could keep going at that pace for 60min, and/or you should be able to run when you get to the top of the climb). As much vertical gain per kilometer as the event you are training for e.g. UTCT 55km has 49m+ per km so in a 20km long run you want to get ±980m+","1.5","","2025-09-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-09-08","","28499.08984375","172","330","623.126","","1.00333333015442","7.8899998664856","","88","","113","132","","","0.71868744157887","51.32","60","0","0","0","0","","","","","","11","42","5","0","1","1","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-09-09","","32825.9609375","203","296","734.864","","1.00388884544373","9.08300018310547","","88","","132","154","","","0.877519377432623","76.57","37","25","0","0","0","","","","","","16","6","6","32","1","0","","","","","",""
"Strength 1","Strength","Notes: Rest +- 45s in between sets WU - 8 X BODYWEIGHT SQUATS X 4 SETS SESSION: - Kettlebell Goblet Squats x 12 reps, 3 sets link > https://drive.google.com/file/d/1YwMRaqpG-qe57SucJg_QbsrqHe4lBhc1/view?usp=sharing - Kettlebell Knee Up x 10 each leg, 3 sets, link > https://drive.google.com/file/d/1qlJ8TlWH5u5_QNK0z0jsREm6cRq_8R7i/view?usp=sharing - Kettlebell Drop Lunge x 10 each leg, 3 sets, link > https://drive.google.com/file/d/1KPPE109Wjq7I3Wv3rb5S1mzjba3ddWQR/view?usp=sharing - Jump fwd Jump bckwd x 15, 4 sets, link > https://drive.google.com/file/d/1eQI_T5TFZLOjbymrtX0ZJqYwe6cJ94Ez/view?usp=sharing Core ( Do each exercise back to back then repeat for 3 sets ) - Alternating Toe Taps x 12, link > https://drive.google.com/file/d/1bFNnPkh6OGqNgtMSho1EVCTj3MIGBvod/view?usp=sharing - Leg Raises x 12, link > https://drive.google.com/file/d/1UZlOU6AJBs7FLaaQwVZZs7u3rN9wdZoC/view?usp=sharing-Reptiles x 12 - Reptiles x 12, link > https://drive.google.com/file/d/1SONVhbdREMiSQcEFmfIRmodqJf16alK6/view?usp=sharing","0.833333333333333","","2025-09-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","1.41666666666667","","2025-09-10","","45558.12890625","191","287","981.63","","1.42138886451721","8.90299987792969","","88","","131","160","","","0.807393905034658","92.27","64","23","1","0","0","","","","","","24","12","45","0","5","0","","","","","",""
"Easy Effort Ride","Bike","","1.41666666666667","","2025-09-11","","35108.94140625","180","311","686.6","","1.05944442749023","9.20499992370605","","88","","125","160","","","0.857926128326239","77.24","50","11","4","0","0","","","","","","38","5","5","2","14","0","","","","","",""
"Running","Run","","","","2025-09-12","","10051.2900390625","399","479","1112.386","","0.774111151695251","3.60700011253357","","164","","146","159","","","0.840827765363378","60.25","15","23","12","0","0","","","","","","0","0","0","0","0","46","","","","","2",""
"Trail Running","Run","","","","2025-09-13","","10362.2099609375","348","565","1266.84","","1.01054608821869","2.84800004959106","","161","","145","163","","","0.699125827888265","54.73","23","23","17","0","0","","","","","","2","1","2","8","10","39","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-09-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-09-14","","6794.97998046875","362","478","730.751","","0.559441685676575","3.37400007247925","","165","","131","147","","","0.615702846836494","23.14","29","5","0","0","0","","","","","","1","0","0","0","0","32","","","","","",""
"Easy Effort Ride","Bike","","1.5","","2025-09-16","","48123.80859375","195","263","1021.947","","1.45361113548279","9.19600009918213","","88","","132","153","","","0.842195611527035","102.32","50","40","0","0","0","","","","","","29","14","1","43","0","0","","","","","",""
"Easy Effort Ride","Bike","","1.25","","2025-09-17","","36672.8984375","183","303","816.446","","1.23777782917023","8.22999954223633","","87","","125","155","","","0.835368540968119","85.93","62","14","0","0","0","","","","","","37","15","0","13","9","0","","","","","",""
"Easy Effort Ride","Bike","","1.25","","2025-09-18","","42183.078125","194","314","888.656","","1.27111113071442","9.2180004119873","","87","","131","150","","","0.838007860735899","88.54","51","28","0","0","0","","","","","","22","14","29","1","10","0","","","","","",""
"Easy Effort Ride","Bike","","1.25","","2025-09-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","2","","2025-09-20","","62203.078125","177","511","1289.188","","2.01527786254883","8.57299995422363","","85","","125","149","","","0.75001545441799","112.74","117","5","0","0","0","","","","","","15","61","44","0","0","1","","","","","",""
"Easy Effort Ride","Bike","","2.5","","2025-09-21","","61843.0703125","181","313","1311.1","","2.00333333015442","8.57499980926514","","88","","129","156","","","0.799292744115283","127.69","97","24","1","0","0","","","","","","28","46","18","21","7","0","","","","","",""
"Easy Effort Ride","Bike","","1.25","","2025-09-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","1.5","","2025-09-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","1.25","","2025-09-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","1.5","","2025-09-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","1.25","","2025-09-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","2.25","","2025-09-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","2.75","","2025-09-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trail Running","Run","","","","2025-09-29","","10022.240234375","340","568","1230.353","","1.00411951541901","2.77300000190735","","157","","149","166","","","0.726961969163745","58.78","18","18","27","0","0","","","","","","2","0","1","7","9","41","","","","","",""
"Easy Effort Ride","Bike","","1.5","","2025-09-30","","34308.48046875","194","446","703.494","","1.00499999523163","9.48200035095215","","85","","127","152","","","0.855014401598537","72.99","47","15","0","0","0","","","","","","18","8","13","16","2","3","","","","","",""
"Treadmill Running","Run","","","","2025-10-01","","11989.7900390625","354","393","1277.724","","1.00236392021179","3.32299995422363","","157","","148","166","","","0.774258989334107","66.58","7","48","9","0","0","","","","","","0","0","0","0","0","60","","","","","0",""
"Easy Effort Ride","Bike","","1.5","","2025-10-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-10-03","","12462.7900390625","381","543","1379.821","","1.0055068731308","3.44300007820129","","163","","152","170","","","0.808219667760085","72.8","8","26","29","0","0","","","","","","0","0","0","0","1","59","","","","","3",""
"Easy Effort Ride","Bike","","2.5","","2025-10-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","3","","2025-10-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-10-06","","30765.169921875","198","606","722.274","","1.01250004768372","8.4399995803833","","90","","126","152","","","0.837334570255078","70.35","57","4","0","0","0","","","","","","8","17","18","16","1","1","","","","","",""
"Easy Effort Ride","Bike","","1.5","","2025-10-07","","47416.62109375","175","320","953.548","","1.50611114501953","8.74499988555908","","86","","123","152","","","0.824828690563496","101.88","67","26","0","0","0","","","","","","31","16","2","41","1","0","","","","","",""
"Easy Effort Ride","Bike","","1.25","","2025-10-08","","36352.640625","191","318","793.573","","1.1525000333786","8.76099967956543","","85","","124","154","","","0.902821897221066","93.56","55","16","0","0","0","","","","","","24","25","0","0","12","8","","","","","",""
"Walking","Walk","","","","2025-10-08","","2116.28002929688","","","","","0.389661133289337","1.50899994373322","","112","","77","97","","","0.527606115444163","11.75","23","0","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-10-09","","4134.68017578125","376","458","453.719","","0.334091931581497","3.43799996376038","","162","","142","154","","","0.787375034632451","22.35","9","12","0","0","0","","","","","","0","0","0","0","0","20","","","","","2",""
"Easy Effort Ride","Bike","","1.5","","2025-10-10","","47053.23046875","191","292","981.809","","1.42083334922791","9.19900035858154","","85","","128","148","","","0.807583065103926","92.35","78","11","0","0","0","","","","","","23","12","45","0","5","0","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-10-11","","33585.91015625","197","321","713.514","","1.00416672229767","9.28999996185303","","84","","124","146","","","0.836369288435867","69.68","59","3","0","0","0","","","","","","0","41","5","7","6","1","","","","","",""
"Easy Effort Ride","Bike","","2","","2025-10-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-10-13","","6316.7001953125","359","435","686.823","","0.530329465866089","3.30900001525879","","163","","130","146","","","0.766099659119759","33.93","30","2","0","0","0","","","","","","0","0","0","0","0","32","","","","","2",""
"Easy Effort Ride","Bike","","1.5","","2025-10-14","","43425.26171875","175","253","864.598","","1.37083327770233","8.79899978637695","","87","","123","142","","","0.75649877532177","78.02","82","0","0","0","0","","","","","","39","5","34","4","0","0","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-10-15","","32557.779296875","188","673","680.716","","1.00388884544373","9.00800037384033","","86","","127","147","","","0.830045748753867","68.48","44","18","0","0","0","","","","","","25","4","6","25","0","1","","","","","",""
"Easy Effort Ride","Bike","","1.5","","2025-10-16","","46368.19921875","176","335","955.244","","1.50388884544373","8.56400012969971","","88","","126","154","","","0.76163273747215","86.68","79","13","0","0","0","","","","","","28","36","11","12","1","2","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-10-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","0.5","","2025-10-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Bricolage on Scotland Smash in Scotland","Bike","","","","2025-10-18","","62372.80859375","181","319","1311.857","","2.00333333015442","8.64799976348877","","89","","133","160","","","0.799580450342116","127.74","84","32","8","0","0","","","","","","28","46","18","21","7","0","","","","","",""
"","Walk","","0.5","","2025-10-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","0.5","","2025-10-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-10-20","","4163.7001953125","389","505","468.383","","0.333616107702255","3.46700000762939","","163","","145","155","","","0.806739200257463","23.42","6","14","2","0","0","","","","","","0","0","0","0","0","20","","","","","2",""
"Running","Run","","","","2025-10-21","","7696.68994140625","384","488","856.595","","0.618972480297089","3.4539999961853","","165","","145","161","","","0.808806816414374","44.31","17","16","8","0","0","","","","","","0","0","0","0","0","37","","","","","",""
"Trail Running","Run","","","","2025-10-22","","8031.39990234375","332","521","978.742","","0.818303346633911","2.7260000705719","","157","","148","167","","","0.722305577850496","47.04","17","11","23","0","0","","","","","","2","1","2","10","6","28","","","","","",""
"Trail Running","Run","","","","2025-10-23","","10467.0703125","346","530","1249.703","","1.00194251537323","2.90199995040894","","165","","147","166","","","0.708590003833956","55.72","20","22","20","0","0","","","","","","0","0","2","12","6","40","","","","","",""
"Strength","Strength","","0.5","","2025-10-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","1.5","","2025-10-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Trail Run","Run","Recovery runs are very easy effort runs that are noticeably slower than your other runs. They are intended to enhance recovery, stimulate blood flow and prepare you for your next work out. Going too hard on these runs increases the risk of injury and means you will not be able to get the most out of your hard sessions to come. Keep the easy days easy so you can run the hard days hard.","1","","2025-10-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Trail Run","Run","Recovery runs are very easy effort runs that are noticeably slower than your other runs. They are intended to enhance recovery, stimulate blood flow and prepare you for your next work out. Going too hard on these runs increases the risk of injury and means you will not be able to get the most out of your hard sessions to come. Keep the easy days easy so you can run the hard days hard.","1","","2025-10-28","","11014.8603515625","364","571","1320.042","","1.00532639026642","3.04299998283386","","162","","152","170","","","0.749362582805775","62.54","12","18","32","1","0","","","","","","0","0","1","8","8","43","","","","","",""
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-10-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Trail Run","Run","Recovery runs are very easy effort runs that are noticeably slower than your other runs. They are intended to enhance recovery, stimulate blood flow and prepare you for your next work out. Going too hard on these runs increases the risk of injury and means you will not be able to get the most out of your hard sessions to come. Keep the easy days easy so you can run the hard days hard.","1","","2025-10-29","","10011.7900390625","355","590","1239.289","","0.969159483909607","2.86999988555908","","160","","150","167","","","0.7301256638362","57.19","14","21","26","0","0","","","","","","2","1","1","6","8","40","","","","","",""
"Recovery Trail Run","Run","Recovery runs are very easy effort runs that are noticeably slower than your other runs. They are intended to enhance recovery, stimulate blood flow and prepare you for your next work out. Going too hard on these runs increases the risk of injury and means you will not be able to get the most out of your hard sessions to come. Keep the easy days easy so you can run the hard days hard.","1","","2025-10-31","","10359.48046875","346","577","1249.871","","1.00145304203033","2.87299990653992","","158","","148","168","","","0.720936951622575","57.69","17","25","22","0","0","","","","","","2","1","1","8","7","41","","","","","",""
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.61111111111111","","2025-11-01","","11251.75","346","585","1360.744","","1.08983361721039","2.86800003051758","","163","","146","165","","","0.704183345132843","60.01","23","28","19","0","0","","","","","","2","0","2","7","10","43","","","","","",""
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-11-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Trail Run","Run","Recovery runs are very easy effort runs that are noticeably slower than your other runs. They are intended to enhance recovery, stimulate blood flow and prepare you for your next work out. Going too hard on these runs increases the risk of injury and means you will not be able to get the most out of your hard sessions to come. Keep the easy days easy so you can run the hard days hard.","1","","2025-11-02","","11215.1904296875","353","556","1334.656","","1.04787337779999","2.97300004959106","","164","","139","157","","","0.651969140636853","49.38","36","28","1","0","0","","","","","","1","0","2","7","9","44","","","","","3","5"
"Easy Effort Ride","Bike","","1","","2025-11-03","","31684.140625","171","333","621.698","","1.00499999523163","8.75699996948242","","86","","121","141","","","0.718343140487272","51.36","60","0","0","0","0","","","","","","11","42","5","0","1","1","","","","","",""
"Easy Effort Trail Run","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard.","1","","2025-11-04","","11209.8896484375","341","569","1374.183","","1.11890304088593","2.78299999237061","","161","","144","163","","","0.690546706226027","59.29","26","31","14","0","0","","","","","","2","1","2","5","11","46","","","","","3","5"
